pid1 pid1_Status pid2 pid2_Status weight
6 Operations 41 Research 114.0
6 Operations 57 Research 71.0
6 Operations 18 Operations 74.0
6 Operations 9 Operations 56.0
6 Operations 15 Outreach 26.0
39 PM 12 Director 320.0
39 PM 56 Director 137.0
39 PM 24 PM 156.0
39 PM 0 PM 67.0
39 PM 43 Research 282.0
39 PM 57 Research 221.0
39 PM 18 Operations 61.0
39 PM 6 Operations 58.0
39 PM 15 Outreach 33.0
57 Research 17 GradStudent 24.0
57 Research 58 GradStudent 15.0
57 Research 12 Director 1429.0
57 Research 56 Director 931.0
57 Research 29 PM 487.0
57 Research 50 PM 292.0
57 Research 4 Research 324.0
57 Research 43 Research 226.0
57 Research 21 Operations 379.0
57 Research 18 Operations 118.0
57 Research 63 Outreach 38.0
57 Research 15 Outreach 14.0
55 Research 37 GradStudent 49.0
55 Research 59 GradStudent 37.0
55 Research 25 Director 80.0
55 Research 22 Director 15.0
55 Research 24 PM 317.0
55 Research 50 PM 47.0
55 Research 41 Research 268.0
55 Research 16 Research 79.0
55 Research 49 Operations 16.0
55 Research 18 Operations 15.0
7 GradStudent 23 GradStudent 8.0
7 GradStudent 48 GradStudent 5.0
7 GradStudent 25 Director 6.0
7 GradStudent 24 PM 55.0
7 GradStudent 50 PM 5.0
7 GradStudent 41 Research 61.0
7 GradStudent 55 Research 17.0
7 GradStudent 9 Operations 9.0
7 GradStudent 18 Operations 8.0
15 Outreach 59 GradStudent 41.0
15 Outreach 51 GradStudent 32.0
15 Outreach 56 Director 1244.0
15 Outreach 25 Director 426.0
15 Outreach 0 PM 83.0
15 Outreach 29 PM 78.0
15 Outreach 41 Research 168.0
15 Outreach 47 Research 115.0
15 Outreach 18 Operations 424.0
15 Outreach 21 Operations 43.0
15 Outreach 15 Outreach 84.0
15 Outreach 63 Outreach 84.0
32 Research 66 GradStudent 118.0
32 Research 7 GradStudent 12.0
32 Research 25 Director 126.0
32 Research 12 Director 74.0
32 Research 39 PM 80.0
32 Research 24 PM 71.0
